,C ID,C B1,C B2,C B3,C B4,C B5,C B6,C B7,C B8,F ID,F B1,F B2,F B3,F B4,F B5,F B6,F B7,F B8
39,418321152,164,9,25,21,0,0,0,0,435158803,28,9,8,5,193,255,255,255
40,418321152,170,9,25,21,0,0,0,0,435158803,56,9,8,5,193,255,255,255
41,418321152,179,9,25,21,0,0,0,0,435158803,92,9,136,4,193,255,255,255
42,418321152,183,9,25,21,0,0,0,0,435158803,122,201,134,3,193,255,255,255
43,418321152,189,9,25,21,0,0,0,0,435158803,146,201,133,3,193,255,255,255
44,418321152,191,9,25,21,0,0,0,0,435158803,168,201,133,3,193,255,255,255
45,418321152,194,9,25,21,0,0,0,0,435158803,181,73,5,0,192,255,255,255
46,418321152,195,9,25,21,0,0,0,0,435158803,181,137,3,0,192,255,255,255
47,418321152,195,9,25,21,0,0,0,0,435158803,181,9,0,0,192,255,255,255
48,418321152,195,9,25,21,0,0,0,0,435158803,181,9,0,0,192,255,255,255
49,418321152,193,9,25,21,0,0,0,0,435158803,181,73,0,0,192,255,255,255
50,418321152,189,9,25,21,0,0,0,0,435158803,181,9,0,0,192,255,255,255
51,418321152,186,9,25,21,0,0,0,0,435158803,181,9,0,0,192,255,255,255
52,418321152,180,9,25,21,0,0,0,0,435158803,181,9,0,0,192,255,255,255
53,418321152,175,9,25,21,0,0,0,0,435158803,181,9,0,0,192,255,255,255
54,418321152,167,9,25,21,0,0,0,0,435158803,181,9,0,0,192,255,255,255
55,418321152,158,9,25,21,0,0,0,0,435158803,181,9,0,0,192,255,255,255
56,418321152,151,9,25,21,0,0,0,0,435158803,181,9,128,1,193,255,255,255
57,418321152,138,9,25,21,0,0,0,0,435158803,182,9,130,3,193,255,255,255
58,418321152,130,9,25,21,0,0,0,0,435158803,162,73,131,3,193,255,255,255
59,418321152,115,9,25,21,0,0,0,0,435158803,139,137,5,0,192,255,255,255
60,418321152,104,9,25,21,0,0,0,0,435158803,135,137,3,3,193,255,255,255
61,418321152,86,9,25,21,0,0,0,0,435158803,117,73,7,0,192,255,255,255
62,418321152,75,9,25,21,0,0,0,0,435158803,112,73,4,3,193,255,255,255
63,418321152,57,9,25,21,0,0,0,0,435158803,88,137,7,0,192,255,255,255
64,418321152,39,9,25,21,0,0,0,0,435158803,82,137,4,3,193,255,255,255
65,418321152,20,9,25,21,0,0,0,0,435158803,64,201,133,3,193,255,255,255
66,418321152,4,9,25,21,0,0,0,0,435158803,38,201,133,3,193,255,255,255
67,418321152,238,16,25,21,0,0,0,0,435158803,16,201,5,0,192,255,255,255
68,418321152,212,16,25,21,0,0,0,0,435158803,13,137,2,0,200,255,255,255
69,418321152,197,16,25,21,0,0,0,0,435158803,14,73,1,0,200,255,255,255
70,418321152,169,16,25,21,0,0,0,0,435158803,13,9,0,0,200,255,255,255
71,418321152,146,16,25,21,0,0,0,0,435158803,14,9,0,0,200,255,255,255
72,418321152,122,16,25,21,0,0,0,0,435158803,14,9,0,0,200,255,255,255
73,418321152,104,16,25,21,0,0,0,0,435158803,13,9,0,0,200,255,255,255
74,418321152,72,16,25,21,0,0,0,0,435158803,14,9,0,0,200,255,255,255
75,418321152,53,16,25,21,0,0,0,0,435158803,14,9,0,0,200,255,255,255
76,418321152,23,16,25,21,0,0,0,0,435158803,13,9,0,0,200,255,255,255
77,418321152,0,8,25,21,0,0,0,0,435158803,14,9,0,0,200,255,255,255
78,418321152,222,7,25,21,0,0,0,0,435158803,14,73,128,1,193,255,255,255
79,418321152,195,7,25,21,0,0,0,0,435158803,252,200,5,5,193,255,255,255
80,418321152,171,7,25,21,0,0,0,0,435158803,221,72,7,5,193,255,255,255
